ano,estado,projecao de populacao
2029,Mato Grosso,3861489
2029,Goiás,7867535
2029,Distrito Federal,3371845
2030,Rondônia,1959925
2030,Acre,1010772
2030,Amazonas,4787816
2030,Roraima,758323
2030,Pará,9473593
2030,Amapá,1010824
2030,Tocantins,1745035
2030,Maranhão,7451435
2030,Piauí,3329443
2030,Ceará,9624466
2030,Rio Grande do Norte,3764104
2030,Paraíba,4207657
2030,Pernambuco,10111808
2030,Alagoas,3465453
2030,Sergipe,2489543
2030,Bahia,15316952
2030,Minas Gerais,22220112
2030,Espírito Santo,4456460
2030,Rio de Janeiro,18123293
2030,São Paulo,49315046
2030,Paraná,12193706
2030,Santa Catarina,8009480
2030,Rio Grande do Sul,11734344
2030,Mato Grosso do Sul,3074275
2030,Mato Grosso,3893821
2030,Goiás,7938596
2030,Distrito Federal,3402180
2031,Rondônia,1972968
2031,Acre,1021247
2031,Amazonas,4840312
2031,Roraima,768085
2031,Pará,9540216
2031,Amapá,1024549
2031,Tocantins,1758194
2031,Maranhão,7477496
2031,Piauí,3330135
2031,Ceará,9654132
2031,Rio Grande do Norte,3781756
2031,Paraíba,4218905
2031,Pernambuco,10148858
2031,Alagoas,3473215
2031,Sergipe,2503065
2031,Bahia,15333879
2031,Minas Gerais,22276910
2031,Espírito Santo,4488951
2031,Rio de Janeiro,18172068
2031,São Paulo,49544302
2031,Paraná,12243938
2031,Santa Catarina,8071564
2031,Rio Grande do Sul,11748756
2031,Mato Grosso do Sul,3096709
2031,Mato Grosso,3925227
2031,Goiás,8007509
2031,Distrito Federal,3431469
2032,Rondônia,1985411
2032,Acre,1031453
2032,Amazonas,4891675
2032,Roraima,777675
2032,Pará,9604249
2032,Amapá,1038086
2032,Tocantins,1770890
2032,Maranhão,7501621
2032,Piauí,3329820
2032,Ceará,9680942
2032,Rio Grande do Norte,3798352
2032,Paraíba,4228977
2032,Pernambuco,10183114
2032,Alagoas,3479940
2032,Sergipe,2515898
2032,Bahia,15346028
2032,Minas Gerais,22326629
2032,Espírito Santo,4520294
2032,Rio de Janeiro,18215864
2032,São Paulo,49760463
2032,Paraná,12290702
2032,Santa Catarina,8131505
2032,Rio Grande do Sul,11759766
2032,Mato Grosso do Sul,3118455
2032,Mato Grosso,3955688
2032,Goiás,8074550
2032,Distrito Federal,3459755
2033,Rondônia,1997286
2033,Acre,1041392
2033,Amazonas,4941934
2033,Roraima,787104
2033,Pará,9665694
2033,Amapá,1051422
2033,Tocantins,1783128
2033,Maranhão,7523757
2033,Piauí,3328513
2033,Ceará,9704871
2033,Rio Grande do Norte,3813882
2033,Paraíba,4237853
2033,Pernambuco,10214587
2033,Alagoas,3485617
2033,Sergipe,2528046
2033,Bahia,15353402
2033,Minas Gerais,22369292
2033,Espírito Santo,4550497
2033,Rio de Janeiro,18254703
2033,São Paulo,49963489
2033,Paraná,12333987
2033,Santa Catarina,8189289
2033,Rio Grande do Sul,11767342
2033,Mato Grosso do Sul,3139518
2033,Mato Grosso,3985234
2033,Goiás,8139722
2033,Distrito Federal,3487020
2034,Rondônia,2008616
2034,Acre,1051065
2034,Amazonas,4991129
2034,Roraima,796382
2034,Pará,9724587
2034,Amapá,1064553
2034,Tocantins,1794915
2034,Maranhão,7543859
2034,Piauí,3326223
2034,Ceará,9725938
2034,Rio Grande do Norte,3828342
2034,Paraíba,4245570
2034,Pernambuco,10243275
2034,Alagoas,3490239
2034,Sergipe,2539516
2034,Bahia,15355998
2034,Minas Gerais,22404924
2034,Espírito Santo,4579573
2034,Rio de Janeiro,18288654
2034,São Paulo,50153386
2034,Paraná,12373836
2034,Santa Catarina,8244918
2034,Rio Grande do Sul,11771486
2034,Mato Grosso do Sul,3159898
2034,Mato Grosso,4013910
2034,Goiás,8203076
2034,Distrito Federal,3513254
2035,Rondônia,2019409
2035,Acre,1060470
2035,Amazonas,5039255
2035,Roraima,805521
2035,Pará,9780938
2035,Amapá,1077482
2035,Tocantins,1806253
2035,Maranhão,7561948
2035,Piauí,3322946
2035,Ceará,9744180
2035,Rio Grande do Norte,3841717
2035,Paraíba,4252159
2035,Pernambuco,10269143
2035,Alagoas,3493794
2035,Sergipe,2550306
2035,Bahia,15353814
2035,Minas Gerais,22433582
2035,Espírito Santo,4607514
2035,Rio de Janeiro,18317762
2035,São Paulo,50330107
2035,Paraná,12410298
2035,Santa Catarina,8298422
2035,Rio Grande do Sul,11772246
2035,Mato Grosso do Sul,3179599
2035,Mato Grosso,4041732
2035,Goiás,8264652
2035,Distrito Federal,3538436
2036,Rondônia,2029651
2036,Acre,1069591
2036,Amazonas,5086236
2036,Roraima,814531
2036,Pará,9834703
2036,Amapá,1090196
2036,Tocantins,1817130
2036,Maranhão,7578056
2036,Piauí,3318653
2036,Ceará,9759629
2036,Rio Grande do Norte,3853989
2036,Paraíba,4257603
2036,Pernambuco,10292112
2036,Alagoas,3496257
2036,Sergipe,2560404
2036,Bahia,15346869
2036,Minas Gerais,22455264
2036,Espírito Santo,4634293
2036,Rio de Janeiro,18342021
2036,São Paulo,50493492
2036,Paraná,12443361
2036,Santa Catarina,8349850
2036,Rio Grande do Sul,11769644
2036,Mato Grosso do Sul,3198627
2036,Mato Grosso,4068689
2036,Goiás,8324460
2036,Distrito Federal,3562521
2037,Rondônia,2039343
2037,Acre,1078410
2037,Amazonas,5132009
2037,Roraima,823417
2037,Pará,9885814
2037,Amapá,1102682
2037,Tocantins,1827541
2037,Maranhão,7592237
2037,Piauí,3313336
